======================================================================
      WIND TURBINE SENSOR CORRELATION REPORT     
======================================================================

--- COLLINEAR SENSOR PAIRS ---


                          Feature_1                           Feature_2  Correlation
Generator_bearing_1_temperature_std    Generator_stator_temperature_std     0.753929
       Generator_stator_temperature           Rotor_bearing_temperature     0.752632
       Generator_stator_temperature       Rotor_bearing_temperature_min     0.751662
       Generator_stator_temperature       Rotor_bearing_temperature_max     0.750929
   Generator_stator_temperature_min       Rotor_bearing_temperature_min     0.748592
  Gearbox_bearing_2_temperature_min Generator_bearing_1_temperature_max     0.748264
      Gearbox_bearing_2_temperature Generator_bearing_1_temperature_max     0.748228
   Generator_stator_temperature_min       Rotor_bearing_temperature_max     0.747865
  Gearbox_bearing_1_temperature_max Generator_bearing_1_temperature_max     0.746410
   Generator_stator_temperature_min           Rotor_bearing_temperature     0.746172
  Gearbox_bearing_1_temperature_min Generator_bearing_1_temperature_max     0.745985
       Gearbox_oil_sump_temperature                         Pitch_angle    -0.743852
       Gearbox_oil_sump_temperature                     Pitch_angle_min    -0.742504
      Gearbox_bearing_1_temperature Generator_bearing_1_temperature_max     0.740986
   Gearbox_oil_sump_temperature_max                         Pitch_angle    -0.740410
                    Rotor_speed_min                              TARGET     0.740135
   Generator_stator_temperature_min                     Pitch_angle_min    -0.739333
                Generator_speed_min                              TARGET     0.738900
      Generator_converter_speed_min                              TARGET     0.738866
   Gearbox_oil_sump_temperature_max                     Pitch_angle_min    -0.738859
                        Rotor_speed                              TARGET     0.738555
   Generator_stator_temperature_max                     Pitch_angle_max    -0.738479
   Gearbox_oil_sump_temperature_min                         Pitch_angle    -0.737735
                    Generator_speed                              TARGET     0.737672
          Generator_converter_speed                              TARGET     0.737583
   Gearbox_oil_sump_temperature_min                     Pitch_angle_min    -0.736969
Generator_bearing_1_temperature_max       Rotor_bearing_temperature_min     0.736595
      Gearbox_inlet_temperature_max       Rotor_bearing_temperature_min     0.736246
Generator_bearing_1_temperature_max       Rotor_bearing_temperature_max     0.736017
      Gearbox_inlet_temperature_max       Rotor_bearing_temperature_max     0.735459
  Gearbox_bearing_2_temperature_max     Generator_bearing_1_temperature     0.735045
      Gearbox_inlet_temperature_max           Rotor_bearing_temperature     0.734286
Generator_bearing_1_temperature_max           Rotor_bearing_temperature     0.734037
   Generator_stator_temperature_min                         Pitch_angle    -0.733602
      Gearbox_bearing_2_temperature     Generator_bearing_1_temperature     0.732927
Generator_bearing_1_temperature_max                 Nacelle_temperature     0.731283
  Gearbox_bearing_1_temperature_min     Generator_bearing_1_temperature     0.730892
  Gearbox_bearing_2_temperature_min       Rotor_bearing_temperature_min     0.730815
  Gearbox_bearing_2_temperature_min           Rotor_bearing_temperature     0.729997
    Generator_bearing_1_temperature           Rotor_bearing_temperature     0.729985
      Gearbox_bearing_2_temperature           Rotor_bearing_temperature     0.729914
  Gearbox_bearing_2_temperature_min       Rotor_bearing_temperature_max     0.729888
  Gearbox_bearing_2_temperature_max       Rotor_bearing_temperature_min     0.729871
  Gearbox_bearing_1_temperature_max     Generator_bearing_1_temperature     0.729830
  Gearbox_bearing_2_temperature_min     Generator_bearing_1_temperature     0.729653
  Gearbox_bearing_2_temperature_max           Rotor_bearing_temperature     0.729274
  Gearbox_bearing_2_temperature_max       Rotor_bearing_temperature_max     0.729256
      Gearbox_bearing_1_temperature     Generator_bearing_1_temperature     0.729147
    Generator_bearing_1_temperature       Rotor_bearing_temperature_min     0.728963
    Generator_bearing_1_temperature       Rotor_bearing_temperature_max     0.727909
      Gearbox_bearing_2_temperature       Rotor_bearing_temperature_min     0.727897
       Generator_stator_temperature                     Pitch_angle_max    -0.727505
      Gearbox_bearing_2_temperature       Rotor_bearing_temperature_max     0.727085
      Gearbox_inlet_temperature_max                         Pitch_angle    -0.727061
          Gearbox_inlet_temperature           Rotor_bearing_temperature     0.726956
                Hub_temperature_min       Rotor_bearing_temperature_min     0.726489
          Gearbox_inlet_temperature       Rotor_bearing_temperature_min     0.726218
      Gearbox_inlet_temperature_max                     Pitch_angle_min    -0.726151
          Gearbox_inlet_temperature       Rotor_bearing_temperature_max     0.725090
       Gearbox_oil_sump_temperature                     Pitch_angle_max    -0.724917
                Hub_temperature_min           Rotor_bearing_temperature     0.724872
Generator_bearing_1_temperature_min       Rotor_bearing_temperature_min     0.723831
      Gearbox_inlet_temperature_min             Nacelle_temperature_max     0.723409
                Hub_temperature_min       Rotor_bearing_temperature_max     0.723348
                    Hub_temperature           Rotor_bearing_temperature     0.723197
          Gearbox_inlet_temperature                         Pitch_angle    -0.722862
Generator_bearing_1_temperature_min       Rotor_bearing_temperature_max     0.722805
                Hub_temperature_max       Rotor_bearing_temperature_min     0.722613
                    Hub_temperature       Rotor_bearing_temperature_min     0.722608
          Gearbox_inlet_temperature                     Pitch_angle_min    -0.721801
   Gearbox_oil_sump_temperature_max                     Pitch_angle_max    -0.721797
  Gearbox_bearing_1_temperature_min Generator_bearing_2_temperature_max     0.721376
Generator_bearing_1_temperature_min           Rotor_bearing_temperature     0.721018
                Hub_temperature_max           Rotor_bearing_temperature     0.720916
                Hub_temperature_max       Rotor_bearing_temperature_max     0.719476
Generator_bearing_1_temperature_max             Nacelle_temperature_min     0.719464
                    Hub_temperature       Rotor_bearing_temperature_max     0.719452
   Gearbox_oil_sump_temperature_min                     Pitch_angle_max    -0.718740
  Gearbox_bearing_1_temperature_max Generator_bearing_2_temperature_max     0.718692
  Gearbox_bearing_2_temperature_max Generator_bearing_1_temperature_min     0.717761
  Gearbox_bearing_1_temperature_max       Rotor_bearing_temperature_min     0.716518
  Gearbox_bearing_1_temperature_min     Generator_bearing_2_temperature     0.716152
  Gearbox_bearing_1_temperature_max           Rotor_bearing_temperature     0.716141
  Gearbox_bearing_1_temperature_max       Rotor_bearing_temperature_max     0.715916
  Gearbox_bearing_2_temperature_max Generator_bearing_2_temperature_max     0.715838
      Gearbox_bearing_1_temperature           Rotor_bearing_temperature     0.715635
      Gearbox_bearing_1_temperature Generator_bearing_2_temperature_max     0.715326
  Gearbox_bearing_1_temperature_min       Rotor_bearing_temperature_min     0.715284
  Gearbox_bearing_1_temperature_min           Rotor_bearing_temperature     0.714649
                     Grid_frequency                  Grid_frequency_max     0.714372
  Gearbox_bearing_1_temperature_min       Rotor_bearing_temperature_max     0.714299
      Gearbox_bearing_1_temperature       Rotor_bearing_temperature_min     0.713414
  Gearbox_bearing_1_temperature_min Generator_bearing_1_temperature_min     0.713413
  Gearbox_bearing_2_temperature_min Generator_bearing_1_temperature_min     0.713017
      Gearbox_bearing_1_temperature     Generator_bearing_2_temperature     0.712997
  Gearbox_bearing_2_temperature_min Generator_bearing_2_temperature_max     0.712815
      Gearbox_inlet_temperature_max                     Pitch_angle_max    -0.712572
      Gearbox_bearing_1_temperature       Rotor_bearing_temperature_max     0.712569
  Gearbox_bearing_1_temperature_max     Generator_bearing_2_temperature     0.712526
      Gearbox_bearing_2_temperature Generator_bearing_1_temperature_min     0.712089
  Gearbox_bearing_1_temperature_max Generator_bearing_1_temperature_min     0.711938
      Gearbox_bearing_2_temperature Generator_bearing_2_temperature_max     0.711314
      Gearbox_inlet_temperature_min       Rotor_bearing_temperature_min     0.711084
      Gearbox_inlet_temperature_min       Rotor_bearing_temperature_max     0.709786
  Gearbox_bearing_1_temperature_min Generator_bearing_2_temperature_min     0.709772
      Gearbox_inlet_temperature_min           Rotor_bearing_temperature     0.709201
          Gearbox_inlet_temperature                     Pitch_angle_max    -0.708292
  Gearbox_bearing_2_temperature_max     Generator_bearing_2_temperature     0.708126
      Gearbox_bearing_1_temperature Generator_bearing_1_temperature_min     0.707149
      Gearbox_bearing_2_temperature     Generator_bearing_2_temperature     0.706893
          Gearbox_inlet_temperature             Nacelle_temperature_max     0.706815
  Gearbox_bearing_1_temperature_max Generator_bearing_2_temperature_min     0.705908
  Gearbox_bearing_2_temperature_min     Generator_bearing_2_temperature     0.705545
   Generator_stator_temperature_min                     Pitch_angle_max    -0.704805
      Gearbox_bearing_1_temperature Generator_bearing_2_temperature_min     0.702946
  Gearbox_bearing_2_temperature_max Generator_bearing_2_temperature_min     0.702656
            Absolute_wind_direction                   Nacelle_angle_min     0.702244
          Absolute_wind_direction_c                   Nacelle_angle_min     0.702235
      Gearbox_inlet_temperature_max             Nacelle_temperature_max     0.701245
  Gearbox_bearing_2_temperature_min Generator_bearing_2_temperature_min     0.700636
            Absolute_wind_direction                   Nacelle_angle_max     0.700534
      Gearbox_inlet_temperature_min                         Pitch_angle    -0.700524
          Absolute_wind_direction_c                   Nacelle_angle_max     0.700523

--- SENSOR CORRELATIONS WITH TARGET (ACTIVE POWER) ---
Rotor_speed_min                        0.740135
Generator_speed_min                    0.738900
Generator_converter_speed_min          0.738866
Rotor_speed                            0.738555
Generator_speed                        0.737672
Generator_converter_speed              0.737583
Rotor_speed_max                        0.683831
Generator_speed_max                    0.683443
Generator_converter_speed_max          0.683305
Gearbox_bearing_2_temperature          0.583740
Gearbox_bearing_2_temperature_min      0.582992
Gearbox_bearing_1_temperature          0.572416
Gearbox_bearing_2_temperature_max      0.571743
Gearbox_bearing_1_temperature_max      0.568579
Gearbox_bearing_1_temperature_min      0.563001
Generator_stator_temperature_max       0.389392
Generator_stator_temperature           0.386202
Generator_stator_temperature_min       0.376007
Generator_stator_temperature_std       0.349321
Gearbox_oil_sump_temperature_max       0.300997
Gearbox_oil_sump_temperature           0.294676
Gearbox_oil_sump_temperature_min       0.284758
Gearbox_inlet_temperature_std          0.275074
Generator_bearing_1_temperature_std    0.265220
Rotor_bearing_temperature              0.264465
Rotor_bearing_temperature_min          0.263185
Rotor_bearing_temperature_max          0.262311
Gearbox_oil_sump_temperature_std       0.251556
Gearbox_bearing_1_temperature_std      0.207302
Grid_voltage_max                       0.197230
Grid_voltage                           0.179883
Grid_voltage_min                       0.157589
Nacelle_temperature_std                0.130726
Grid_voltage_std                       0.104703
Gearbox_inlet_temperature_max          0.095211
Gearbox_inlet_temperature              0.057743
Generator_bearing_2_temperature_max    0.051594
Generator_bearing_2_temperature        0.048579
Generator_bearing_2_temperature_min    0.048475
Gearbox_bearing_2_temperature_std      0.030754
Grid_frequency_min                     0.024630
Generator_bearing_1_temperature_max    0.024071
Generator_bearing_2_temperature_std    0.023691
Grid_frequency_max                     0.021953
Gearbox_inlet_temperature_min          0.021857
Grid_frequency                         0.020813
Absolute_wind_direction                0.013697
Absolute_wind_direction_c              0.013688
Hub_temperature_std                    0.012712
Nacelle_angle_c                        0.006762
Nacelle_angle                          0.006747
Generator_bearing_1_temperature        0.004325
Rotor_bearing_temperature_std         -0.000144
Nacelle_angle_max                     -0.007044
Nacelle_angle_min                     -0.010274
Grid_frequency_std                    -0.010339
Generator_bearing_1_temperature_min   -0.011312
Nacelle_angle_std                     -0.021605
Rotor_speed_std                       -0.036433
Generator_converter_speed_std         -0.037281
Generator_speed_std                   -0.038669
Pitch_angle_std                       -0.048372
Hub_temperature_max                   -0.096124
Hub_temperature                       -0.097416
Hub_temperature_min                   -0.097445
Outdoor_temperature_std               -0.120934
Outdoor_temperature_min               -0.146915
Outdoor_temperature_max               -0.149707
Outdoor_temperature                   -0.149828
Nacelle_temperature_max               -0.252234
Nacelle_temperature                   -0.273659
Nacelle_temperature_min               -0.282678
Pitch_angle_max                       -0.358874
Pitch_angle_min                       -0.375808
Pitch_angle                           -0.384454
